pid,comment,Sentiment_for_model
684,Definitely hope to see some progress on this matter. It has been quite sometime since this discussion topic started but yet to have any udpate so far. How I wish FS could be a more effective and efficient P2P platform as we all know SG's kiasu-ness. We all know that the service fee imposed is not only on interest but also the principal. So please do something while you're charging your investors.,Negative
686,Thanks a lot for simplifying it. Will wait for the part 2.,Positive
687,"@josephyiong lol. SG's Kiasu-ness.. that made me laugh out loud.  `Service is also imposed on principal` -> that's a good point. I think at this point, its just a waiting game.",Negative
694,"To me, the mentioned Issuer Company seems crowdfund fresh fund/cashflow to offset previous financing.   Because the new investment opportunity for this Issuer Company always back-to-back or in lined with the previous investment opportunity's tenor due. Also, I've been seeing the same info of the Risk Snapshot & Comments in factsheet every time there's a new investment opportunity open for this borrower.  Therefore, to enhance detailed information on the borrowing request of the Issuance Company & information transparency in term of financial risk management to Borrower/Investor.  It would be great if the facsheet could justify the purpose, reason or the scope of work of having issued new investment opportunity. Especially for regular Issuer who has existing/running exposure(s) on financing activities in your platform.",Neutral
695,"@Daniel-Kam share the same view with you, wondering if they make new financing to cover previous financing.",Neutral
702,This is on notified or non-notified basis?,Neutral
704,@Daniel-Kam @strogest  This should answer your questions. :)  https://www.crowdfundtalks.com/topic/132/repeated-borrowers-and-existing-exposure,Positive
705,"Thx for your informative sharing Shaynne, truly appreciate.  Looking forward to more comprehensive and detailed information within the factsheet of Issuer Company in future (e.g. scope of work, purpose & objective of financing, as well as cash flows from existing financing activities of the company).",Positive
708,1. Company background 2. Financial performance 3.  Future cash flow projection,Neutral
718,The factsheets in SG are quite detailed. MY should follow that too.,Neutral
723,"Hackers are now active going into your fb account. They spread pornographic and sex video using your name and send to your fb friends without your knowing about it. You cant see it but others can. So, if you received such video under my name, it was'nt me. Pls pass this msg to all your fb friends to",Neutral
724,Hmmm.. so any updates on this loan repayment? Expected repayment date is 19th Jan 2018 & today is 23rd Jan 2018. Need this repayment for reinvesting to new financing.  *waiting*,Negative
725,"@josephyiong said in [New Investment Opportunity: MBBT\-17120055](/post/724): > any updates on this loan repayment? Expected repayment date is 19th Jan 2018 & today is 23rd Jan 2018.  I think they require up to 3 *business days* to update investor accounts; but, in general, they seem to take 2 days.",Neutral
726,"how can it be that in July/September quarter the borrower had no staff cost and his equity magically surged from 85,000 ringgit to 496,000 ?",Neutral
727,"I think the repayment date is late for now. But how come the funding societies didnt update or record this deal as late payment in records. If I didnt go and check it out, I wont know the repayment has been late for 4 days",Negative
728,@josephyiong  How much you have invested in this term financing?,Neutral
730,"@evenu Just got the repayment for this financing a moment ago, and I was just on time to bid another one financing (small amt only) before it was closed. LOL.",Neutral
731,"@bhlim1990 Hmm. Yea, they didn't update except ONCE I saw a repayment note stating the payment is expected to be late due to cheque clearance. But for others, so far I didn't get any note / explanation on why it is later than the expected date. What i presume is if the issuer pays using IBG, it might need 2 - 3 working days for it be shown in Trustee's bank account statement. Which I think it's fair enough for all parties. But, it will be good if FS could put a note for investors' information whenever there is such late repayment.  Just my thought and feedback.",Neutral
732,@bhlim1990 200 only. small amt. u can check now and it should have been credited into our account balance.,Neutral
735,"@bhlim1990 - The repayment wasn't late. And, I consider two business days a reasonable time frame.",Neutral
736,"I am one of those who had expressed concern about being exposed to the same issuer again and again. At present, approx. 15% of the my capital is lent to one particular issuer. (Since I am relatively new to FS, my loan portfolio isn't well diversified yet.) Fearing the issuer would yet again pop-up, I have reduced the amount allocated for auto-invest, as a precautionary measure. Anyway, thanks for your explanation above. Still, I wonder why the interest rate is low (10.5%), even though this particular issuer's Altman Z-score (my estimates) appears to be in the negative territory.",Negative
738,"Gaudente has posted a reply to: New Business Term Financing Opportunity: MBBT-17110032  how can it be that in July/September quarter the borrower had no staff cost and his equity magically surged from 85,000 ringgit to 496,000 ?",Neutral
739,@evenu You can opt out of a particular investment even when you use Auto Invest (example attached). ![0_1516727116171_Opt-Out Auto Invest.png](/assets/uploads/files/1516727116963-opt-out-auto-invest-resized.png),Neutral
740,@jlhc said in [Repeated borrowers and existing exposure](/post/739): > You can opt out of a particular investment even when you use Auto Invest (example attached)  Provided you see it in time -- i.e. before 3 PM.,Neutral
741,@evenu AFAIK you can still contact support to opt-out even if the funding process has started.,Neutral
746,Debt collection agency need additional working capital is to set up a new production line?  Anyone can explain more on it?,Neutral
747,@daniel  same question here.  What is the advance debt collection management system employed?,Neutral
748,"Rm 1mil funding needed. For debt collection business. Is it more ppl trap in debt nowadays , so the debt collection business is highly profit ?",Neutral
749,"I find this investment attractive. However, could you please explain what is this ""new production line""? Does this company plan to set up a new business? Or do they plan to open a new branch office? They seem to have taken 9 + 1 loans in the last 12 months. Are these related to the ""new production line"" as well?",Neutral
753,"@evenu Can we view the previous fact sheet to find out whether it is related to the ""new production line""?",Neutral
754,"@lobowang said in [New Business Term Financing Opportunity: MBBT\-18010010](/post/753): > @evenu Can we view the previous fact sheet to find out whether it is related to the ""new production line""?  I don't think they have received any loan from FS before this. The other loans are probably from banks.",Neutral
762,@evenu ehh.. negative altman z-score is a huge problem right? why did you still invest in those loans?,Negative
764,Where should I get the fact sheet for this?,Neutral
772,"kind of in the same boat. we need a way to avoid increasing our exposure to the same borrower. I don't always have time to monitor my investments, which is one reason i pick FS, (auto invest)",Neutral
783,"Great post! Very detailed, hope to get more articles like this in future.",Positive
793,Its a good write up. The comparison is a bit higher level and already well known information to everyone.  It can be more detailed.,Positive
798,"Hello,  Singapore based Funding Societies has become the first peer-to-peer lending platform to become a member of the International Association of Credit Portfolio Managers (IACPM), a prestigious forum for credit risk management.  Funding Societies also reported that risk expert Terry Tse has joined the online lender’s Board of Directors. Mr. Tse is the former Chief Risk Officer of Dianrong – one of China’s leading P2P lending platforms. Before joining Dianrong, Terry Tse spent many years in consulting and banking with Oliver Wyman and Deutsche Bank respectively. He currently serves as the Senior Vice President of Lian Lian Pay and is responsible for its international business development.  Together with sister platform Modalku, Funding Societies says it is currently the largest SME loan crowdfunding platform in Southeast Asia, with operations in Singapore, Indonesia, and Malaysia. Recently, Funding Societies has also become the only Southeast Asian digital lender to be selected by CB Insights to the Fintech 250, a list of 250 top private companies changing the face of financial services around the world.  “We believe in cutting-edge innovation. As FinTech is a knowledge-intensive industry, being admitted into IACPM enables us access to credit portfolio research and forums with leading banks and financial institutions such as Goldman Sachs, DBS and Citigroup for continuous innovation,” commented Kelvin Teo, co-founder and CEO of Funding Societies. “We are also honoured to have world-class risk expert Terry onboard.   thanks  more details:  [B2b Digital Marketing Campaign](https://blog.advids.co/20-top-b2b-digital-marketing-and-advertising-campaign-examples/)",Neutral
816,4 months have passed ever since this topic was brought up. Any update thus far? It's a great pain to see available financings being taken up even I deposited the money immediately but pending for verification. Sigh!,Neutral
817,Very true.  It's like a dinosaur in the year 2018.,Neutral
818,"Ask the CEO directly during this session Taken from FS Facebook Hi everyone,  We will be hosting an AMA - Ask me anything session on CrowdFund Talks Live at Tuesday 13th Feb, 4 PM (GMT + 8) with Kah Meng, CEO Funding Societies.  During the AMA, Kah meng will be online and try to interact with all of you. If you have any questions or topics you want to discuss, please post them in this thread before hand.  For more information: https://www.crowdfundtalks.com/topic/149/ask-me-anything-ama-with-kah-meng-ceo-funding-societies",Neutral
820,@dinesh-thalavell @josephyiong  I think you should post it in the AMA thread.   https://www.crowdfundtalks.com/topic/149/ask-me-anything-ama-with-kah-meng-ceo-funding-societies,Neutral
821,"@rajni123 Hi Rajni, ya just noticed that . probably the question regarding the deposit can be posted in that thread",Neutral
823,"haha. yes. we should post it directly in that thread. Looks like this thread is not being maintained properly any more. Been a while since we saw any updates.  @Dinesh-Thalavell maybe you could post? I already posted a question, it might look better if it comes from a different person.",Negative
825,@rajni123 I will suggest @josephyiong  to post that. could you do that Mr @josephyiong?,Neutral
829,The 2% is 2% x ???,Neutral
833,Is their any limit to a person investing in your platform without necessary to declare his or her assets? How do we the Investor declared our income from your platform ? ( Example through your Statement or any summarized statement ),Neutral
844,@josephyiong I deposited my fund yesterday with intention to invest in three crowdfunding offers in the list. After one day FS confirmed receipt of my deposit and stated that they are 'processing' my deposit. I am afraid that I am going to miss all the three investment crowdfunding offers in the list by the time my deposit has been 'processed'.  Hard to accept the fact that I can transfer money to USA accounts and got acknowledgement of receipt in a few seconds and here SF needs one day just to confirm receipt of my deposit :(,Neutral
848,"@John-Yong , feel the same pain here.. but i was surprised that yesterday I deposited the fund and this morning was verified. The financing with 14% p.a was already finished and left 2. But, seemingly the 12.5% will be finished soon.  Perhaps their staff OT today on Saturday.. lol... btw, I'd posted this topic in AMA and waiting for reply.",Neutral
854,Up to this morning my deposit is still under processing.  You have been lucky to have your deposit verified.  I sense that FS is not keen to accept my investment due to the fact that I called them dinosaur in the year of 2018.  I might withdraw my fund and forget about this SF.  :),Negative
861,"an easy solution to this problem would be FS announcing new facilities with more advance , two or three days instead of just one.",Neutral
863,Agree with you. Just announce that improvement to deposit has been carried out and completed. Now it takes three day to verify deposit. Hahaha,Neutral
864,It takes longer because it's the bank  trustee who verify the deposit and it's weekend. My deposits are  usually verified In one day . next time try to deposit by Thursday so that they will process it on Friday  . If they comes up with better solution then no need worry .,Neutral
865,Thanks Dinesh...Very constructive info.,Positive
867,"Good informative write up. Can you do a similar one explaning the all the factsheet , what to look out for, how to spot positive and non positive sign from the fact sheet, enough information for the majority of the user who are not accountant!!",Neutral
896,Understand this note will be restructured into a 2-month note instead of the existing 1-month note due to some pre-emptive warning from the Borrower. Please clarify if this will be reflected as a missed payment (hence adding to the default rate/incur late payment penalty) or a completed payment?,Neutral
905,@vamsi7 yes. we can use a write up on how to read the factsheet.,Neutral
927,"This came into my mind.   I'm a maybank account holder. They have this feature ""Ezy Cash"" to get advance cash bank in to your account directly and you can repay the amount over 6 months. They charge only 3.88% 1 time fee.  So example,  I borrow RM 2,000 Bank charge me 3.88% of RM 2,000 = RM 77.60  I will repay the bank RM 333.33 over 6 months + The RM 77.60.   Now I have advance cash, and I use that RM 2k to invest in FS with 12% per year.   I make a net of 9% using banks money.  My risks of losing that RM 2k if the company of FS default payment, which is 1.5++%.  Would you do it?",Neutral
929,"Not sure if this is such a good idea. (Just like investing using your credit card) But I know people who do this.  I hope you are not considering investing into cryptocurrencies using your advance cash. If you are, then its a big NO NO.",Negative
939,"Around 3 months have passed since I started investing in FS Malaysia, FS Singapore and ModalKu. I have tried to invest in almost all the notes posted, and have been generally (but not always) successful in the effort. Following is the total number of notes I've invested in, % amount repaid over the amount invested, and approx. IRR for each country: * Malaysia: 29 notes | 34% | 4.06% (pre-tax) * Singapore: 14 notes | 22% | 3.42% * Indonesia: 121 notes | 50% | 4.03% (pre-tax)  Clearly, Indonesia is the leader in terms of the number of notes posted. But, the majority of these notes have a tenor of 30 days or less. As a result, the IRR isn't that great -- even though 50% of the total invested amount has been returned! Which, to me, is worrying; because, it tells me that the statistics that FS shares publicly -- that shows a default rate of less than 1.5% -- doesn't quite tell the full story.",Neutral
940,"Yes I do that. For me, it's like forcing myself to save money throughout the period of serving installments with the CC. Instead of thinking I have to save a portion of money every month, I would anyhow repay the debts that I've borrowed. But in fact I'm saving a portion of money every month consistently. Nonetheless, yes this involves risks and I would need to prepare myself to lose the money I borrowed. I do this just because I trust FS at the moment. I hope I'm not wrong.",Neutral
943,"I would say it is a no no, because p2p lending is not a RISK FREE investment.  You should have the ability to prepare to lose all your principal for the worst scenario of default or fraud case.  With the money that you borrow, no matter what is the borrowing cost, it will become a mental and financial burden sometime it will lead you to make rush or irrational decision.   Furthermore if you read the fact sheet carefully, you will know your maths was wrong.  The 12% simple interest is refer to the interest that the issuer have to pay not the net interest you will get as an investor.",Negative
945,"Hi, I am investing with FS MY and FS SG, and I know how both taxation work out for me as a MY tax payer. May I know about FS Indonesia, what is the service fee rate and how is tax to be computed? Is tax withheld by FS Indonesia?  Thanks.",Neutral
947,"@wjchay said in [Cross country investing with Funding Societies](/post/945): > FS Indonesia, what is the service fee rate  It varies. I've paid anything between 11% - 45%. (They charge a lower fee for riskier loans.) On average, it works out to be around 25%. They have something called revolving loans, which charge very high service fees (up to 50%).",Neutral
951,"Based on  your first post, you have already lost money. Please invest in crypto or MLM for higher returns",Neutral
952,"@alexanderang7 I say go for it. P2P is quite safe to leverage and more importantly, not volatile. But be conscious of the risks involved and never bet more than you can pay. Good luck.",Neutral
954,@vamsi7 love the new website. good job!,Positive
955,The colours used for the Portfolio payment status especially the purple (Miss) and blue (Unpaid) is very close and will get easily mixed up. Please considering using colours other than those in your logo. Colourblind people cannot differentiate the slight difference in the shade.,Neutral
957,"@2387581 I agree. I've sent them a feedback when the new design wasn't officially launched yet but it doesn't seem to be improved yet. As colour blindness affect at least 8% of males and 0.5% of femals, that is nearly 1 in 10 of FS clients and users who may have problems with the new colour based design.",Negative
958,"@alexanderang7 I think this is actually a brilliant idea and its workable, when there are many deals available. With many deals available, you are actually able to diversify into different deals to control the risk of default.   Say the default risk on FS is 2%, and your cost of financing is 3.88%, that makes your cost of financing up to 5.88% (assuming if you are able to invest into 100 different deals once you get the financing). With that, you are able to earn pure return of about 3-4%. The 3-4% seems small to alot people, but this is pure extra profit without using your existing capital. If you are able to get a loan of RM100k, you will get extra RM3k to 4k with minimal effort.  This is the power of leveraging. Of cause, it does come with risk. But if you are able to manage the risk well, in this case is to diversify and make sure that the platform is able to maintain its default rate.   Your idea actually enlighten me. If the Malaysia P2P is able to grow as big as those in US, whereby they actually group the deals together because of their funding is so big that, it doesn't make sense to offer deal by deal. They group those deals with similar risk and return together, for example Group A with Y% return for 100 deals. This actually make our life easier to diversify, and your idea would probably work best.",Neutral
959,"@jlhc either there's a problem with their attitude or they are just plain lazy. As with many other business, I think the feedback they wanted are only meant for decoration. Cheers.",Neutral
960,"@vamsi7 thanks for the new enhancements. the website is much better looking and more usable now.  @2387581 haha.. not sure if you can say they have an attitude problem, just based on the above situation. They are much more responsive and caring towards their customers than other companies. (This forum is an example)  But I do agree in this specific case, they should have taken user feedback more seriously.",Neutral
961,@edward-foong-pooi-sing MLM is legal??? In singapore MLM is prohibited. Not sure about malaysia.  @Necrox I like your math and analysis. This indeed is looking like a good idea now.,Neutral
965,"@Necrox I totally agree with you, and in fact I've started doing this since few months ago. Here's my speculation in earning through leveraging:  Credit Card Cash advance: Tenure: 12 months (Monthly) Upfront charge: 2% Interest: 4.88% Total: 6.88% (Simple int rate; Effective rate would be higher)  P2P Financing: Tenure: 12 months (Monthly) Interest: 14% Net Interest: 11.72% (Simple Int rate)  11.72% - 6.88% = 4.84%  Assuming the P2P financing doesn't default in payment, I've made 4.84% interest after deducting the costs. Which I find a pretty good deal. Nonetheless, thanks to this forum that I am constantly reminded to diversify my investments to minimize loses in event of default. As i mentioned in my previous post, I put my trust on FS at the moment, whom we all hope doing great job in due diligence. But look forward for more idea contributions here so that I may learn from you all. =)",Neutral
966,"@josephyiong U guys are so quick and creative, how come I have never thought of that... damn. But P2P is not 100% bullet proof.  I think the best time to practice this is still when they have enough deals for us to diversify into.   But great idea! Might practice it soon.",Neutral
967,"The only thing I miss for the old design is the quarterly company performance statistics, that helps to show the progress trend..  Other than that, new design looks good.",Positive
969,"@josephyiong  if you think use leverage on credit card revolving credit will help you to speed up return in P2P Financing, that could be an option.  But do take care of your Debt Servicing Ratio (DSR) if you want to take home loan or car loan in future. As well as remember to pay on time, the fee & charges T&C from MBB clearly stated any late payment will result standard credit card agreement apply, which mean 18% p.a. of interest rate.  @Necrox you have correctly pointed out currently FS platform yet to build an unlimited supply of notes for us to mitigate the risk in order to diversiy.  My personal view is the notes offered year to date still have concentration risk with quite a number of notes from existing issuers or split out large amount of target funding by tranches.",Neutral
972,Is it possible to read the compliance report and financial statements of Funding Societies or Modalku Ventures???,Neutral
977,"@alexanderang7 As an entrepreneur myself, I can understand how your entrepreneur brain is thinking, for us, we believe we will not lose money at the end of the day....even if we did, we will eventually earn more back, haha.",Positive
978,"@alexanderang7 said in [Leverage Bank&#x27;s Money to Invest in FS?](/post/927): > This came into my mind.  >  > I'm a maybank account holder. They have this feature ""Ezy Cash"" to get advance cash bank in to your account directly and you can repay the amount over 6 months. They charge only 3.88% 1 time fee. >  > So example,  > I borrow RM 2,000 > Bank charge me 3.88% of RM 2,000 = RM 77.60 >  > I will repay the bank RM 333.33 over 6 months + The RM 77.60.  >  > Now I have advance cash, and I use that RM 2k to invest in FS with 12% per year.  >  > I make a net of 9% using banks money.  > My risks of losing that RM 2k if the company of FS default payment, which is 1.5++%. >  > Would you do it?  no. First of all , you are paying 3.88% in advance for a 6 months term. That means the yearly rate is at least twice that. But there's more : you do not pay back as a lump sum at term's end , but in monthly installments , therefore the average term of your loan is just 3.5 months . meaning your APR is approx 3.88% /3.5 x 12 = 13.3%  So even if everything goes smoothly with FS , you are actually losing money. Also consider that when you deposit funds on FS account , it takes some time before you find a loan to invest  , and some other time before the loan actually starts , and during all this time (which might easily sum up to 1 month) your money isn't gaining any interest.  Anyway , in Singapore many people had your same idea with high yield bonds like Rickmers 8% , the bonds defaulted and they are now sleeping at the airport because they had to sell their houses to pay back the banks.  Do you have any comfortable airport in your area ?",Negative
979,"Hi, I am new to FS. I notice there is a best investor with 145k made in the last 6 months with 55 notes, assuming this person invested the max 50k , is this kind of return possible ?",Neutral
980,"Hi k555, If you mean a total investment of 55 notes at RM50k each, then this return is certainly possible as it is only 5.27% on capital invested of 2,750,000 for a six month term. As interest and repayments are reinvested the return should increase over time. Six months is too short a period to predict final outcome.  However if you mean a 50k total investment, then this result is impossible!",Neutral
983,@k555 I don't think the limit of RM50K investments applies to Angel investors. Check this thread out https://www.crowdfundtalks.com/topic/150/total-amount-to-invest,Neutral
984,@Gaudente bang on..! Is it actually true about the people sleeping in the airports? Or did you make that up for dramatic purposes? :D :D,Neutral
988,"well the story about the airport I read on sgtalk forum , and was actually about a woman who had rented out her apartment to make ends meet .... but what's sure is that a lot of people were pushed by banks to buy two lots of such bonds (each one being 250,000 SGD) one being paid with investor money and the other with a bank loan .... those who invested their life savings not only lost them all , but also found themselves with the same amount to pay back to the bank... if they sold home and went sleeping at the airport or jumped off  balcony to get a faster solution is just speculation.",Negative
991,"It is their choice, they decided to venture in it knowing the risk, when the issuer decided to take flight, they can best stomach the loss. Same here to TS or whoever thinking of using loan to invest in P2P. Companies went bust not because of diminishing profits but bad cash flow. Same here, if a case like one of the issuer decided to pay later instead of the agreed tenure, suddenly you have a cash flow problem and may be detrimental to your financial health.",Negative
993,"@kahmeng should take note to use percentage instead of absolute figure. Since for angel investor or sophisticated investor there are no cap to investment limit, they may well have been investing around 1.5 million to achieve that figure at around 12%PA or 15 million at 1.2%PA (I just plucked the numbers, calculation is too complicated for me)",Neutral
994,"But I believe this is more like to capture the kiasu-ness of retail investor, because everyday when you open the overview page you see someone else making so much money, it will make you not want to lose out and pump in more money to FS, in order to capitalise the opportunities.",Neutral
996,"It is best for us investors to have the investment principles or rules lied out before taking the leap of investment. Some investors can take speculative move because they have more capital that they have more holding power, they can lose the extra money they have without affecting their livelihoods, or they are very good at certain high risk financial vehicles such as forex, future or contract trading, or even with insider news doing insider trading.   That is why I always encourage people to first establish the Financial Freedom Plan first, understand the concept of Financial Independent, then only move on Financial Planning, then only take action on Investment Vehicles following your Financial Plan. Eventually, it is not the Money we are going after, but the Whats behind the Money. Surround yourself with the teachers like financial coaches and mentors, these are few people you can start your Investment journey with:  1. First, you should meet Mr Wong Chai Soon (if your like Mandarin media) or Mr Yap Ming Hui (if you like English media), you can quote my name, they are personal friends of mine for more than decades. 2. Second, contact Mr KC Lau, he will open your eyes on all the Financial Opportunities in the market, but not too worry, as you already have Wong Chai Soon or Yap Ming Hui at your back, you already know what Investment Vehicles you should ride on, you won't be carried away with all the trends. (So note that the sequence who you should meet first is very very vital) 3. Move on contact Mr PC Wong, an expert in Foreign Share Investment, start to macro-diversify your investment in multiple currencies, now you have become a global investor. 4. After meeting these people, and you have tried and experienced, investment or speculate, move on to what you good at and what you believe in and you will meet more people that could help your investment in eg properties, local or foreign stock, forex, crypto, reits, unit trusts, p2p..etc  I can't emphasise more that the sequence of what you should learn first (who you should meet first) is very vital. The lady who has to sleep in the airport you mentioned, she meet the investment options first before meeting the people who can assist in her financial freedom planning.",Neutral
1000,"@2387581 I agree this is a pretty good motivation strategy. It is interesting to see how high it can go, but like you said, percentage matters more.",Positive
1010,"hi FS... is it possible to amend the figure shown in ""Expected repayments this month"" under Portfolio from exclusive of service fee to inclusive of service fee? It would be much more convenient to obtain monthly expected net repayment for deposit planning purpose. If you got what i mean. tq..",Neutral
1011,"@josephyiong Agree with you. Current state of bank transfer for depositing, means we have to carefully plan when to deposit the money based on repayments that are coming in.  But I think the service fee is very less to affect your calculations. unless you are an angel investor ofcourse. :)",Positive
1012,"@vamsi7 when you scroll, the colors are gone and Its hard to memorise them as they are so many. will be convenient to show the colors even when we scroll down.  Other than that, pretty happy with the website. huge improvement compared to the old website.",Positive
1013,@2387581 haha i see your point. FOMO can be a pretty strong driver. clever tactic.,Positive
1014,@loh One of the best answers I have read on the forum lately. your investment principles are strong. are you a FA?  I just signed up for KC Lau's webinar. https://www.crowdfundtalks.com/topic/158/webinar-how-to-invest-like-a-banker-with-p2p-lending   lets see how it goes,Positive
1016,"@rajni123 nope that's not what i meant. I just need total monthly net repayment in order for me to plan the deposit amount.  Example:  Apr'18 expected repayment: RM710.93 Apr'18 expected net repayment: RM698.32 (After deducting service fee imposed)  I plan to top up additional fund so that I can round it to nearest invest-able amount for reinvestment purpose. I can top up RM301.68 [RM1000 (Desired investment amount) - RM698.32 (Expected Net repayment)] in order to invest + reinvest with a rounded amount.  By doing so, my account balance would be 0 if I fully invested RM1k on mth end. Just a suggestion for convenience.",Neutral
1017,"Dear @Rajni123 I am not a Financial Adviser, I hold the post of Company Strategic Adviser and current Business Development Adviser, still adviser, haha.",Neutral
1019,"With the new website, the ""Auto Investment"" is now called the ""Auto investment bot"".   However, I noticed that we are no longer able to modify existing investment rules.   For example, I want to change the Investment Amount for any of the rules / bots which was possible in the previous design but not the new design.   This is very troublesome as we will need to create a new rule / investment bot just to make some small changes.",Neutral
1021,"@vamsi7 I believe there should be a better way to ensure that they are making a conscious choice, for example having a pop-up after they click ""Save"" with a summary of changes that they are making and have them confirm it.   It can be very tedious for users with multiple Auto Investment Bots if they need to delete and re-create the bots everytime they want to make small changes for example like the amount invested, the minimum interest rate or the industry.",Neutral
1023,"@rajni123 another way is to enable tooltip when mouseover to a certain part of the table. For example, when the cursor stops on a light blue circle, pop a tooltip which says 'Paid'",Neutral
1025,"I have another piece of suggestion for the website appearance. This is regarding the fact sheets. Can we NOT have to download/open the pdf separately? Perhaps an overlay or an in-page pdf app which does not download the pdf by default. And since we do not have the real company names and credentials, being in the digital age, can you include some industry-relevant images on the fact sheets, just like how you guys previously did with the emails? (I do not see FS emails anymore, they go directly to bin)",Neutral
1039,"Can do and is what I am doing currently, here how are the calculations look like approximately,  Option 1 3.88% Ezy Cash 6 months term Upfront must be paid on the first month If you lend and pay accordingly, the EIR will be 14.43%.  Option 2 3.88% Ezy Cash 6 months term Upfront must be paid on the first month 6 Credit cards with 6 months + 0% balance transfer Make a BT to one card at a time for the 6 months If you lend and pay accordingly, the EIR will be 8.24%.  In short, please do your own homework and calculations before you dig and jump yourself into a hole. If you able to generate more than 15% EIR on FS, factor in the risk, while if risks accepted, congratulations and go ahead.",Neutral
1042,"@JLHC how often do you update your Auto invest settings? I typically have the auto invest settings turned on for the minimum in every loan. As do a lot of friends I know. wondering what your strategy is, that makes you update the settings frequently.",Neutral
1043,"@jonhan I adjust the minimum balance from time to time depending on the fund balance in my Funding Societies account.   If there are a high amount in my fund balance sitting down doing nothing (not even earning any interest unlike other trust accounts like those used by Rakuten Trade, for example), I may increase the minimum balance to invest so that the they will be working for me instead of lazying around.",Neutral
1044,"I see. But how do you know when to change the settings? As changes made to auto invest settings need one day to reflect, and typically, we get emails of potential cf's on the day itself. @JLHC",Neutral
1045,"@jonhan I make the changes based on the fund balance in my account, not based on the investment opportunities.   So if there are a lot of funds, I will just let it auto invest until it goes low and re-adjust the auto investment settings when that happens.",Neutral
1049,"Does FS has any comprehensive ""living will"" arrangement ? Meaning to say,  if FS go out of business - is investors going to continue receive repayment from the issuer or the borrower ? I see this type of ""living will"" arrangement on other p2p lending operator, but i could not find this statement in FS, may be i miss. Appreciate someone to shed some lights. thanks",Neutral
1051,"Hi Teh, FS has a trustee account in place to secure your fund. The purpose of a trustee account is to ensure that your funds are not misused, and keep it separated from FS. Having said that, FS will not be able to use your funds for other purpose.   If FS stops their operation in Malaysia, your funds are still safe with the trustee and SMEs is still oblige to make monthly repayment. When that happens, you can always contact RHB trustee on the status of your account, as they will have the full info of your account.",Neutral
1052,Noted with thanks. Appreciate it,Positive
1058,Hmmmm... Still no update up till today. It's frustrating to see interested financing and unable to deposit on time to bid for investing. Any update?,Negative
1059,I made an INSTANT TRANSFER but still have to wait for 1 to 2 working days as replied by AIDA just yesterday.  Should said even Instant Transfer is of NO USE.  Really FRUSTRATING.,Negative
1060,Can a New Account be registered just using 1. email 2. Bank Account address to verify  as address.  as the New Investor has No Mobile Phone or subscribe to any utility/ telecommunication facility.,Neutral
1072,"As a lender in FS Indonesia, you can get up to 35% return p.a. by providing financing to SME. Wow! 35% return p.a.! What are the problems and risks involved in signing up with FS Indonesia?",Neutral
1073,@toh-eric seriously? or perhaps it's effective rate?,Neutral
1074,"If 35% is for effective rate, it is still pretty awesome. Would be interesting if anyone can share experience on how to get higher effective rate here, I'm a newbie and trying out my strategy, but it is too soon to see any good returns yet",Positive
1075,@josephyiong it is stated on the FS Indonesia website. I got my information from there.,Neutral
1091,"@evenu thanks.  Overall, I like this article. But I would argue that the most relevant metric of concentration risk is not so much the total number of loans, but the maximum (and average) note size as a percentage of the total portfolio. For a sufficiently large portfolio, 100 or even 200 notes could represent very high concentrations. Likewise, 1 very large note and 99 little ones would not adequately diversify. Better to look at the right metrics.",Neutral
1095,@evenu Thanks for sharing. Seems like there's plenty of uncertainties in indonesia.,Negative
1097,Do we still need to pays for the income tax for earning from FS Spore and IND?,Neutral
1098,"@richardchung85 FS Sg will withhold tax before credit your account. FS Ind, there's no witholding tax, as explained by @fshappy above.",Neutral
1105,"This is a follow-up to my previous post. It has been four months since I started investing in FS/MDK. The following are the IRR of my portfolio (as of 31 Mar) for the three countries:  * Malaysia: 6.99% * Singapore: 4.81% (after tax) * Indonesia: 6.18%  ModalKu has changed its risk rating system; so what was once AA, is now rated as C. So, if you want AA rated borrowers, you have to settle for less than 10%, which after their 2.5% service fee, would net you a pretax return of less than 7.5%. I am also not enthused with their new Factsheet format. Not sufficiently detailed. I do not plan to make any further deposits there.",Neutral
1108,"It has been suggested that we could use Instarem for transfers from Malaysia. However this company is only available in some states. I quote a recent reply from them: ""Please be informed that at the moment we are only operating in Kuala Lumpur, Nigeri Sembilan, Selangor, Cyberjaya and Putrajaya. We are not operating in Penang,  However in future if we plan to expand in Penang we shall certainly keep you updated.""  There is as far as I can see no such restriction shown on their website. I am looking into other Forex dealers for online bank transfers. e.g. UAE Exchange and Lotus Remit.",Neutral
1111,"If I hit RM50,000 limit with FSMY, can I invest in Modalku Indonesia?",Neutral
1112,@toh-eric I don't think they are linked so it should be ok.,Neutral
1121,"May i ask, when it comes to Income Tax in Malaysia, how do we fill for income tax? 1. do we take the figures from 'Net Income'? 2. will we receive annual statement which we can use for the filling?",Neutral
1157,"@ktinvest if you have used Funding Societies, they did sent an annual statement in email so you can have an summary of earnings, for your tax filing purposes.  On the other hand, since 5 April 2018 FS will start implementing GST on services fee, P2P might become less attractive, unless the additional charges are transferred to the issuer.",Negative
1158,"@2387581 thanks for the info. I just started since Dec2017. The annual statement via email, when is the period that Funding Societies will send it out?",Neutral
1160,@fshappy  Thanks Shyanne.,Positive
